"offer","brand","description","activated_date","expiration_date","url"
"Save $0.75","Tai Pei®","on ONE (1) Tai Pei® Entrée (7.9 oz. or larger) or Appetizer","2018-02-28T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","BOUNTY®","ONE Bounty® Paper Towels (excludes Bounty® Basic and trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","HORMEL® Brand","on the purchase of any two (2) HORMEL® MARY KITCHEN® Hash products","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","Pine-Sol®","on any ONE (1) Pine-Sol® multi-purpose cleaner, 40oz or larger (Available at Walmart)","2018-02-16T00:01:00-0800","2018-04-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Cosmetic Face product (excluding Magic Perfecting Base 0.17 FL oz. mini size)","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Buy ONE Get ONE","PANTENE®","Buy ONE Pantene Foam Conditioner OR Micellar Pro-V Blends Shampoo OR Conditioner, GET ONE FREE (excludes 17.9oz & trial size)","2018-03-04T00:01:00-0800","2018-03-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","Cooked Perfect®","on any TWO (2) bags of Cooked Perfect® Meatballs","2018-03-09T00:01:00-0800","2018-06-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Cat Chow®","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","2018-03-04T00:01:00-0800","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00 ON ONE","Big G Cereals","when you buy ONE BOX Cinnamon Toast Crunch™ Blasted Shreds™ OR Peanut Butter Chocolate Blasted Shreds™ cereal","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Tidy Cats®","on one (1) package of Purina® Tidy Cats® brand Clumping Cat Litter, any size, any variety (excluding Tidy Cats® LightWeight Cat","2018-02-12T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Dove","on ONE (1) Dove Shower Foam","2018-02-22T00:01:00-0800","2018-04-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris EVER hair care shampoo, conditioner or treatment product (excludes 3 oz. size and sheet masks)","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Pup-Peroni®","on any TWO (2) Pup-Peroni® dog snacks","2018-03-01T00:01:00-0800","2018-05-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","CHARMIN®","ONE Charmin® Ultra Soft or Strong Toilet Paper (excludes Charmin® Essentials and trial/travel size)","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Tidy Cats®","on one (1) package of Purina® Tidy Cats® LightWeight cat litter, any size, any variety","2018-02-12T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.50","HORMEL® NATURAL CHOICE® Bacon","on the purchase of any one (1) HORMEL® NATURAL CHOICE® bacon product","2018-03-01T00:01:00-0800","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢","Scrubbing Bubbles®","on any TWO (2) Scrubbing Bubbles®, Pledge® or Windex® Products","2018-02-04T00:01:00-0800","2018-04-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Skin Care product (excludes trial size)","2018-03-04T00:01:00-0800","2018-04-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Superior Preference or Excellence hair color product","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Garnier®","on ANY ONE (1) Garnier® Nutrisse Hair Color product","2018-03-04T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","PAMPERS®","ONE Pampers® Easy Ups Training Pants (excludes trial/travel size)","2018-03-07T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.25","Dove Men+Care","on ONE (1) Dove Men+Care Foaming Body Wash","2018-02-22T00:01:00-0800","2018-04-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Scrubbing Bubbles®","on any TWO (2) Scrubbing Bubbles® Fresh Gel or Fresh Brush","2018-02-25T00:01:00-0800","2018-03-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","OPTI-FREE® Solution","On Any ONE (1) OPTI-FREE® Solution Twin Pack Only","2018-03-04T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Beyond®","on one (1) 4lb or larger bag of Purina® Beyond® Dry Dog Food, any variety","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Schick® Hydro® or Quattro® Titanium*","on any ONE (1) Schick Hydro® or Schick® Quattro® Titanium* Razor or Refill (excludes Disposables and Women's Razor or Refill)","2018-03-04T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 Off","Suave Professionals®","any ONE (1) Suave Professionals® Styling product (excludes 2 oz. trial and travel sizes and twin packs).","2018-02-27T00:01:00-0800","2018-03-11T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","DINTY MOORE® Brand","on the purchase of any two (2) DINTY MOORE® products","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
